pos,Reference,Value,Geometry,Part nr,
1,C100,10N,K0805,,
2,C101,100N,K0805,,
3,C102,10N,K0805,,
4,C103,10n,K0805,,
5,C104,100n,K0805,,
6,C105,68P,K0805,,
7,C106,68P,K0805,,
8,C107,68P,K0805,,
9,C108,68P,K0805,,
10,C109,100N,K0805,,
11,C110,100N,K0805,,
12,C111,100N,K0805,,
13,C112,100N,K0805,,
14,C113,100N,K0805,,
15,C114,100N,K0805,,
16,C115,33u,elco_smd35x28,,
17,C116,33u,elco_smd35x28,,
18,C117,33u,elco_smd35x28,,
19,C118,100N,K0805,,
20,C119,100N,K0805,,
21,C120,100N,K0805,,
22,C121,100N,K0805,,
23,C122,100N,K0805,,
24,C123,100N,K0805,,
25,C124,100N,K0805,,
26,C125,100N,K0805,,
27,J100,PC-AT,pcat-bus,,
28,J102,CINCH,cinch,,
29,J103,CINCH,cinch,,
30,R100,75R,K0805,,
31,R101,75R,K0805,,
32,R102,150R,K0805,,
33,R103,8K2,K0805,,
34,R104,4R7,K0805,,
35,R105,1k,K0805,,
36,R106,10M,K0805,,
37,R107,560R,K0805,,
38,R108,10M,K0805,,
39,R109,560R,K0805,,
40,U100,GAL20V8,dip24s,,
41,U103,74HC299,so20,,
42,U104,74HC299,so20,,
43,U105,ATV2500,dip40,,
44,U108,CS8412,so28,,
45,U109,CS8402,so24,,
46,U110,TOTX173,totx173,,
47,U111,74HCU04,so14,,
48,U200,SRAM 32KX8,SO28,,
49,U201,SRAM 32KX8,SO28,,
50,U202,ATV2500,dip40,,
51,Y100,12.288MHz,xtal_smd49,,
52,Y101,11.2896MHz,xtal_smd49,,
